job,company,status,TechStack,Location,Min_sal,Max_sal
Associate Backend Developer,Boomerang,Actively hiring,"['Java', 'PHP', 'MySQL', 'HTML', 'Python', 'MongoDB', 'Django']",Work from home,360000,420000.0
Web Scraping Engineer,AbleSpace,Actively hiring,"['HTML', 'CSS', 'JavaScript', 'Python', 'XML', 'JSON', 'Database Management System (DBMS)']",Work from home,360000,null
Python Developer,LogiQlink Technologies,Actively hiring,['Python'],Indore,350000,600000.0
Junior Software Developer,VeidaLabs,Actively hiring,"['MySQL', 'Python', 'Node.js', 'React', 'REST API']",Gurgaon,350000,450000.0
WordPress Developer,Easy Interio,Actively hiring,"['PHP', 'HTML', 'CSS', 'JavaScript', 'WordPress', 'Search Engine Optimization (SEO)']",Work from home,344000,365000.0
Associate Full Stack Developer,Omni Value Solutions,Actively hiring,"['MySQL', 'JavaScript', 'Node.js', 'Frontend development', 'Backend development', 'Vue.js', 'Artificial intelligence']",Bangalore,320000,400000.0
Full Stack Developer,Vaishali Gupta,null,"['Python', 'SQL', 'Node.js', 'NoSQL', 'React', 'Vue.js', 'Google Cloud Platforms (GCP)']",Work from home,315000,505000.0
Full Stack Developer,Vaishali Gupta,null,"['Python', 'SQL', 'Node.js', 'NoSQL', 'React', 'Vue.js', 'Google Cloud Platforms (GCP)']",Work from home,315000,505000.0
Junior Software Developer,Lit Amor,null,['English Proficiency (Spoken)'],Work from home,300000,900000.0
Laravel Developer,FynTune Solution Private Limited,Actively hiring,"['PHP', 'MySQL', 'Laravel', 'Object Oriented Programming (OOP)']",Navi Mumbai,300000,850000.0
"STEM Trainer – Coding, Robotics & IoT (School Level)",Qwings,null,"['Python', 'Robotics', 'Mobile Application Development', 'Arduino', 'Game development', 'Web Design', 'Internet of Things (IoT)']",Bardez,300000,500000.0
Full Stack Developer,"NetWit (Vancouver, Canada)",Actively hiring,"['PHP', 'MySQL', 'HTML', 'CSS', 'JavaScript', 'Python', 'MongoDB']",Work from home,300000,500000.0
Junior Software Developer,ValleyPoint Technologies,Actively hiring,"['HTML', 'CSS', 'JavaScript', 'Python', 'React']",Chennai,300000,500000.0
Senior WordPress Developer,PageTraffic Web-Tech Private Limited,null,"['PHP', 'CSS', 'JavaScript', 'WordPress']",Noida,300000,480000.0
Full Stack Developer,Our Courier And Logistics Private Limited,null,"['JavaScript', 'MongoDB', 'Node.js', 'Express.js', 'React', 'REST API', 'React Native']",Bangalore,300000,420000.0
Web Developer,Serve Amigo Technologies Private Limited,Actively hiring,"['SQL', 'Git', 'Node.js', 'UI & UX Design', 'Flutter', 'REST API', 'English Proficiency (Spoken)']",Noida,300000,420000.0
Junior Software Developer,Bitamin,Actively hiring,"['JavaScript', 'Python', 'SQL', 'Node.js', 'React']",Pune,300000,400000.0
Senior Backend Developer,Mai Kisaan,Actively hiring,"['Python', 'Django', 'Express.js', 'Database Management System (DBMS)', 'TypeScript', 'Django Rest Framework']",Pune,300000,400000.0
Software Engineer (Shopify App/Remix),Upsellity AI,null,"['Git', 'Node.js', 'PostgreSQL', 'GitHub', 'React', 'REST API', 'React Native']",Delhi,300000,400000.0
Junior Software Developer,"Articence (Pleasanton, United States)",Actively hiring,['Python'],Work from home,300000,400000.0
Laravel Developer,SR Edu Technologies,Actively hiring,"['PHP', 'Laravel']",Hyderabad,300000,400000.0
Software Developer,Dataknobs,null,"['Python', 'Node.js', 'AWS Lambda', 'Amazon EBS']",Work from home,300000,400000.0
Artificial Intelligence (AI) Specialist,Quantasis Private Limited,Actively hiring,"['Python', 'Artificial intelligence', 'Artificial Intelligence Markup Language (AIML)', 'Generative AI Tools', 'Vibe Coding']",Mumbai,300000,360000.0
Backend Developer,Arch Store,null,"['MySQL', 'Python', 'Git', 'JSON', 'CI/CD', 'FastAPI']",Work from home,300000,350000.0
Junior Python Developer,Time Line Investments,Actively hiring,"['Python', 'SQL', 'Logical reasoning', 'Django', 'Machine Learning', 'GitHub', 'REST API']",Bangalore,300000,320000.0
Junior Full Stack Developer,StoreBuilder,null,"['Java', 'MySQL', 'Spring Boot']",Work from home,300000,300001.0
Software Developer,Abhishek Patnigere,Actively hiring,"['Java', 'MongoDB', 'Node.js', 'Web development', 'Express.js', 'React', 'REST API']",Work from home,300000,null
Full Stack Developer,WingMann,null,"['HTML', 'CSS', 'JavaScript', 'Python', 'MongoDB', 'Node.js', 'React Native']",Bangalore,280000,null
Junior Software Developer,Qasber Technologies,null,"['JavaScript', 'ASP.NET', 'SQL', 'Git', 'Node.js', 'MS SQL Server', 'React']",Hyderabad,270000,700000.0
MERN Developer,ZustPe Payments Private Limited,Actively hiring,"['MongoDB', 'Node.js', 'Express.js', 'React', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Interpersonal skills']",Chennai,252000,372000.0
PHP Developer,Prarang,Actively hiring,"['PHP', 'MySQL', 'JavaScript', 'Python', 'Laravel', 'React', 'Model View Controller(MVC)']",Noida,250000,650000.0
Associate Java Developer,Greentin Solutions Private Limited,null,"['Java', 'MySQL', 'Hibernate ORM(Java)', 'Spring MVC']",Pandharpur,250000,400000.0
Project Coordination,Rajlaxmi Solutions Private Limited,null,"['HTML', 'Python', 'Django', 'Node.js', 'Express.js']",Thane,250000,350000.0
Junior Full Stack Developer,Super Abroad Overseas,null,"['MySQL', 'HTML', 'CSS', 'JavaScript', 'MongoDB', 'AngularJS', 'Node.js']",Hyderabad,250000,350000.0
Senior Python Developer,Primetrade.ai,Actively hiring,"['Python', 'Machine Learning', 'Data Science', 'Database Management System (DBMS)', 'Generative AI Tools', 'AWS CloudFormation']",Work from home,250000,320000.0
Senior Python Developer,Primetrade.ai,Actively hiring,"['Python', 'Machine Learning', 'Data Science', 'Database Management System (DBMS)', 'Generative AI Tools', 'AWS CloudFormation']",Work from home,250000,320000.0
Web Developer,Foodsure,Actively hiring,"['PHP', 'HTML', 'WordPress', 'React']",Noida,250000,300000.0
PHP Developer,FranTiger Business Consulting Private Limited,null,"['PHP', 'CodeIgniter', 'Laravel']",Bangalore,240000,500000.0
WordPress Developer,ALTITUDE  (Sell Yours Digital),null,"['PHP', 'HTML', 'CSS', 'JavaScript', 'WordPress', 'Search Engine Optimization (SEO)']",Indore,240000,440000.0
Python Developer,Red Sprite,null,"['Python', 'Analytical Thinking', 'Data Science', 'REST API']",Pune,240000,400000.0
WordPress Developer,Golden Ratio Marketing Management LLC,null,"['PHP', 'HTML', 'CSS', 'JavaScript', 'jQuery', 'WordPress', 'Lovable (GenAI)']",Work from home,240000,360000.0
Associate Software Developer,Sahaj Infotech Private Limited,null,"['Java', 'MySQL', 'HTML', 'CSS', 'JavaScript', '.NET']",Delhi,240000,360000.0
Junior Web Developer,Ambrosia Botanical,Actively hiring,"['WordPress', 'Node.js', 'React', 'Shopify']",Delhi,240000,300000.0
Junior Software Developer,Bluepms Software Solutions Pvt,null,"['Java', 'JavaScript', 'C#', '.NET', 'React', 'Angular']",Chennai,240000,300000.0
Backend Developer,Arovez Technology LLP,null,"['PHP', 'Laravel', 'React Native']",Work from home,240000,300000.0
MERN Stack Developer,CollEdge Connect,null,"['JavaScript', 'REST API', 'DevOps', 'MERN', 'JWT']",Delhi,240000,300000.0
Full Stack Developer,Cogn.ai Technologies Private Limited,Actively hiring,"['Java', 'HTML', 'CSS', 'Python', 'PostgreSQL', 'React']",Bangalore,240000,null
Software Engineer,Mindware (Indian Barcode),null,"['PHP', 'Node.js', 'Docker', 'GitHub', 'React', 'Amazon EC2', 'Amazon CloudFront']",Delhi,220000,410000.0
Full-Stack/Frontend,Wombto18 Integrate Care Pvt Ltd,null,"['Node.js', 'React', 'Database Management System (DBMS)', 'CI/CD', 'Integration Testing']",Work from home,220000,360000.0
PHP Developer,Webingo Infotech Solutions LLP,null,"['PHP', 'MySQL', 'HTML', 'AJAX', 'CodeIgniter', 'Laravel']",Kolkata,220000,306000.0
Senior Backend Developer,Anand Vivek,null,"['PHP', 'MySQL', 'JavaScript', 'Laravel']",Jamshedpur,216000,336000.0
Junior Web Developer,GI Scholar,null,['PHP'],Work from home,210000,400000.0
Generative AI Engineer (Agentic Systems),Mera Samaj (CodeBasera Technologies),null,"['Python', 'Algorithms', 'Problem Solving', 'Generative AI Development']",Work from home,200000,600000.0
Junior Full Stack Developer,Levia Technologies Private Limited,null,"['HTML', 'CSS', 'JavaScript', 'Node.js', 'PostgreSQL', 'React', 'Amazon Web Services (AWS)']",Work from home,200000,600000.0
Python Developer,Intellativ,null,"['Python', 'Python Libraries']",Hyderabad,200000,600000.0
Vibe Coder,Stirring Minds,Actively hiring,"['JavaScript', 'SQL', 'MongoDB', 'Node.js', 'Express.js', 'React', 'TypeScript']",Faridabad,200000,500000.0
Full Stack Developer,Stirring Minds,Actively hiring,"['MySQL', 'JavaScript', 'Data Structures', 'MongoDB', 'AngularJS', 'Node.js', 'Docker']",Faridabad,200000,500000.0
Software Developer,Apex Aspire Skill Training And Management Services,null,"['Java', 'MySQL', 'HTML', 'CSS', 'JavaScript', 'jQuery', 'Python']",Delhi,200000,450000.0
PHP Developer,Around29 Digital Media Solutions,null,"['PHP', 'MySQL', 'HTML', 'JavaScript', 'jQuery', 'AJAX', 'CodeIgniter']",Hyderabad,200000,400000.0
Data Extraction Engineer,Relu Consultancy,Actively hiring,"['Python', 'Selenium', 'Data Extraction', 'BeautifulSoup']",Work from home,200000,400000.0
Web Developer,Noormertech,Actively hiring,"['PHP', 'MySQL', 'HTML', 'CSS', 'JavaScript', 'jQuery', 'SQL']",Gurgaon,200000,400000.0
Software Developer,Homely Aura,Actively hiring,"['PHP', 'MySQL', 'HTML', 'CSS', 'JavaScript', 'Python', 'MongoDB']",Noida,200000,400000.0
Junior Full Stack Developer,Itax Easy Private Limited,null,"['HTML', 'CSS', 'AngularJS', 'Node.js', 'React', 'Bubble.io', 'Cloudinary']",Noida,200000,400000.0
MERN Stack Developer,Ziegler Aerospace,Actively hiring,"['MongoDB', 'Node.js', 'GitHub', 'Express.js', 'React', 'Amazon Web Services (AWS)', 'TypeScript']",Hyderabad,200000,400000.0
PHP Developer,The Web Logics,null,"['PHP', 'MySQL', 'Laravel']",Jaipur,200000,360000.0
Backend Developer,SkoolOfCode,null,"['MySQL', 'HTML', 'CSS', 'JavaScript', 'Python', 'Node.js', 'React']",Work from home,200000,360000.0
Computer Science & AI Teacher,Vigyan Pragya Foundation,null,"['Python', 'SQL', 'Generative AI Tools']",Vrindavan,200000,300000.0
Full Stack Developer,New Era Consultancy Services,null,"['Java', 'PHP', 'MySQL', 'HTML', 'CSS', 'JavaScript', 'Python']",Jalgaon,200000,300000.0
Full Stack Developer,Vortexweb.ae,Actively hiring,"['PHP', 'MySQL', 'JavaScript', 'Node.js', 'React']",Noida,200000,300000.0
Software Developer,Best Trading Company,null,"['Java', 'MySQL', 'HTML', 'CSS', 'JavaScript', 'Python', '.NET']",Work from home,200000,300000.0
Software Trainer,Logische Innovative Pvt Ltd,Actively hiring,"['Python', '.NET', 'Node.js', 'React', 'Flutter', 'Angular']",Thane,200000,300000.0
Vibe Coder (FSD),Stirring Minds,Actively hiring,"['Web development', 'Frontend development', 'Backend development', 'MERN']",Delhi,200000,300000.0
Web Developer,WUA ENTERPRISES PRIVATE LIMITED,Actively hiring,"['PHP', 'HTML', 'CSS', 'WordPress', 'Search Engine Optimization (SEO)', 'Shopify']",Faridabad,200000,300000.0
WordPress Developer,Digital Heroes,null,"['PHP', 'HTML', 'CSS', 'JavaScript', 'WordPress', 'Search Engine Optimization (SEO)']",Lucknow,200000,280000.0
Web Developer (Full-Stack + AI),Matrix International,Actively hiring,"['PHP', 'HTML', 'CSS', 'JavaScript', 'Python', 'WordPress', 'UI & UX Design']",Work from home,200000,280000.0
Java Developer,DigiEn InfoSoft LLP,null,"['Java', 'MySQL', 'JSP', 'Bootstrap', 'Spring MVC']",Surat,200000,250000.0
Associate Python Developer,Megaminds IT Services,Actively hiring,"['Negotiation', 'Python', 'Data Structures', 'Data Analytics', 'Machine Learning', 'Problem Solving', 'GitHub']",Hyderabad,200000,250000.0
Full Stack Developer,Maachao,Actively hiring,"['Python', '.NET', 'Node.js']",Work from home,200000,240000.0
ASP.NET Developer,Medicircle Media Private Limited,null,"['C#', '.NET', 'ASP.NET', 'C#.NET', 'SQL', 'MS SQL Server']",Mira Bhayandar,200000,240000.0
React Native Developer,ZustPe Payments Private Limited,Actively hiring,"['Communication Skills', 'Node.js', 'React Native', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'AWS Lambda']",Chennai,200000,237600.0
Node.js Developer,Stefax,null,"['JavaScript', 'MongoDB', 'Node.js', 'REST API', 'Amazon EC2', 'NestJS']",Work from home,200000,230000.0
Mobile App Developer,SmartU,Actively hiring,"['Node.js', 'PostgreSQL', 'Express.js', 'Microsoft Azure', 'React', 'REST API', 'Firebase']",Nagpur,200000,221000.0
Web Developer,ALMI Blogging School Pro (Almi Production Land Solar Private Limited),Actively hiring,"['PHP', 'MySQL', 'HTML', 'CSS', 'JavaScript', 'WordPress', 'Node.js']",Chennai,200000,220000.0
Python Developer,AIVOA,Actively hiring,"['Python', 'React']",Work from home,200000,210000.0
Software Engineer,Arjun Kumar,null,"['Java', 'REST API', 'React Native', 'Database Management System (DBMS)', 'Next.js']",Work from home,200000,null
Full Stack Developer,"VirtualCrew.AI (San Jose, United States)",Actively hiring,"['HTML', 'CSS', 'JavaScript', 'MongoDB', 'Node.js', 'PostgreSQL', 'Automation']",Work from home,200000,null
Full Stack Developer,Itax Easy Private Limited,null,"['MySQL', 'JavaScript', 'Python', 'AngularJS', 'Node.js', 'Express.js', 'React']",Noida,200000,null
